LU,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,NUM_FLOORS
R2,Y,504500,4200,69,2
R3,N,539500,5930,109,1.5
R1,Y,365700,1870,109,1.5
A,N,1323000,53896,109,3
R2,Y,475900,1680,119,2
R3,Y,572500,3000,109,3
R2,Y,491800,3801,109,2
RC,N,464500,2499,74,2
R2,Y,503600,3700,69,1
R1,N,247700,2500,109,2
R1,Y,263000,2500,109,2
R1,N,378600,3000,119,1.5
R1,Y,278800,1718,119,2
R3,N,665300,1782,120,3
R3,Y,708800,1825,119,3
R3,Y,475100,1825,119,3
R3,Y,538200,1825,112,3
CD,Y,407100,918,2,1
CD,Y,400600,925,2,1
CD,Y,421600,1051,2,1
A,N,1127000,4474,120,2
R3,Y,311000,2703,129,3
R3,Y,515000,1528,129,3
R3,N,562000,2500,129,3
CD,Y,490100,1325,3,2
CD,N,432600,809,3,1
CD,Y,460300,916,3,1
R3,N,656400,2500,129,3
R3,N,575800,2500,119,3
R3,N,583800,2478,119,3
R3,Y,586900,2479,31,3
CD,Y,375000,2148,18,3
CD,Y,375000,2148,18,3
R1,Y,431700,1983,119,2
R1,N,340400,1500,119,2
R1,N,446900,1517,119,2
R1,Y,295500,2500,109,1.5
R1,N,317400,2500,119,1.5
R3,N,589600,2500,129,3
R2,N,510600,2500,119,3
CD,Y,492800,1025,3,1
CD,Y,374300,654,3,1
R2,N,470700,1407,119,1.5
R1,Y,329400,1093,119,1.5
CD,Y,347400,977,4,1
CD,Y,350900,974,4,1
CD,Y,368000,1120,4,1
R3,Y,623400,2250,119,3
R3,N,600300,2475,119,3
R3,N,659100,2475,129,3
R3,Y,670600,2500,119,3
R3,Y,607800,2500,119,3
R3,Y,550500,1250,109,3
R3,N,526300,1180,119,3
R3,Y,554300,1320,119,3
R3,N,505400,3050,119,3
R3,Y,642100,1621,95,3
R3,Y,661600,1729,119,3
R3,Y,645900,1799,119,2.5
R2,Y,507800,1799,119,2.5
R2,Y,653600,5000,119,2
R2,Y,568500,2500,15,2
R1,Y,416600,2500,119,1.5
CD,Y,303300,1224,28,1
CD,Y,237500,1286,28,1
CD,Y,211200,1224,28,1
CD,Y,237500,1286,28,1
R3,Y,650700,3445,119,3
R3,Y,660800,2875,119,3
R3,Y,583600,2445,65,3
R1,N,271700,1064,119,2
R1,Y,321900,1438,119,2
R1,N,325300,1307,119,2
R1,Y,293700,1216,119,2
R1,N,293500,1254,119,2
R3,N,476700,1160,119,2
R2,Y,424600,969,119,2
R1,Y,267200,860,119,2
R1,Y,343400,845,119,2
R1,Y,303700,1330,108,2
R1,N,366700,995,108,2
R4,N,543500,1161,120,3
R1,N,306900,827,79,2
R1,N,349600,903,119,2
R1,Y,273400,972,119,2
R1,Y,289700,1175,119,2
R1,Y,345600,1280,119,2
R1,N,350000,1228,119,2
R1,Y,340800,1278,119,2
R1,Y,386200,1386,119,2
R3,Y,399900,2425,119,3
R3,N,517200,2425,119,3
R3,Y,616900,2575,119,3
R3,Y,602100,2500,119,3
R2,Y,509500,2200,119,3
R2,N,493400,2800,129,2
R3,N,578800,2500,129,3
R1,Y,475400,5000,119,2
CD,Y,309900,633,119,1
CD,Y,313500,648,119,1
CD,Y,305000,612,119,1
R1,N,324600,2500,119,1.5
R1,Y,353100,2500,119,2
R2,Y,537100,2500,119,2.5
R3,N,530200,1250,109,3
R3,Y,466300,1151,129,3
R3,N,582100,2567,129,3
CD,Y,319900,702,2,1
CD,Y,326300,732,2,1
CD,Y,347700,828,2,1
R3,N,624100,2384,129,3
R3,N,592830,1416,129,3
R3,N,530100,1913,129,3
R3,Y,473900,2119,129,3
R3,N,691100,1618,129,3
R3,Y,493500,1349,129,3
R3,N,640400,1288,129,3
R3,N,481800,1288,129,3
